"year","month","week","count","week_idx"
2016,6,23,3951,341
2016,6,24,4628,342
2016,6,25,3893,343
2016,6,26,3928,344
2016,7,27,3334,345
2016,7,28,4871,346
2016,7,29,4239,347
2016,7,30,3631,348
2016,7,31,1089,349
2016,8,31,2742,350
2016,8,32,3799,351
2016,8,33,3896,352
2016,8,34,4375,353
2016,8,35,3290,354
2016,9,35,527,355
2016,9,36,3257,356
2016,9,37,4208,357
2016,9,38,4917,358
2016,9,39,3617,359
2016,9,40,556,360
2016,10,40,3996,361
2016,10,41,3946,362
2016,10,42,5046,363
2016,10,43,3756,364
2016,10,44,1823,365
2016,11,44,1811,366
2016,11,45,3361,367
2016,11,46,3455,368
2016,11,47,1895,369
2016,11,48,2093,370
2016,12,48,436,371
2016,12,49,1959,372
2016,12,50,1648,373
2016,12,51,1169,374
2016,12,52,1666,375
2016,12,53,444,376
2017,1,1,2122,377
2017,1,2,1427,378
2017,1,3,1926,379
2017,1,4,3053,380
2017,1,5,839,381
2017,2,5,952,382
2017,2,6,2146,383
2017,2,7,1927,384
2017,2,8,2767,385
2017,2,9,970,386
2017,3,9,933,387
2017,3,10,1494,388
2017,3,11,1174,389
2017,3,12,2096,390
2017,3,13,2466,391
2017,4,13,148,392
2017,4,14,2131,393
2017,4,15,2748,394
2017,4,16,3008,395
2017,4,17,3206,396
2017,4,18,92,397
2017,5,18,2212,398
2017,5,19,3272,399
2017,5,20,2772,400
2017,5,21,2530,401
2017,5,22,1834,402
2017,6,22,1333,403
2017,6,23,3245,404
2017,6,24,3170,405
2017,6,25,3370,406
2017,6,26,3497,407
2017,7,26,391,408
2017,7,27,3356,409
2017,7,28,4637,410
2017,7,29,4204,411
2017,7,30,5605,412
2017,7,31,1150,413
2017,8,31,3469,414
2017,8,32,6051,415
2017,8,33,4643,416
2017,8,34,4581,417
2017,8,35,3703,418
2017,9,35,748,419
2017,9,36,3635,420
2017,9,37,4309,421
2017,9,38,3836,422
2017,9,39,4565,423
2017,10,40,4634,424
2017,10,41,3506,425
2017,10,42,3756,426
2017,10,43,3111,427
2017,10,44,1074,428
2017,11,44,3481,429
2017,11,45,2613,430
2017,11,46,2404,431
2017,11,47,1857,432
2017,11,48,2274,433
2017,12,48,558,434
2017,12,49,1772,435
2017,12,50,1292,436
2017,12,51,1572,437
2017,12,52,575,438
2017,12,53,23,439
2018,1,1,772,440
2018,1,2,1151,441
2018,1,3,821,442
2018,1,4,1274,443
2018,1,5,716,444
2018,2,5,419,445
2018,2,6,498,446
2018,2,7,555,447
2018,2,8,1222,448
2018,2,9,913,449
2018,3,9,675,450
2018,3,10,1524,451
2018,3,11,1699,452
2018,3,12,1350,453
2018,3,13,1562,454
2018,4,13,88,455
2018,4,14,1513,456
2018,4,15,1931,457
2018,4,16,1668,458
2018,4,17,1950,459
2018,4,18,346,460
2018,5,18,1456,461
2018,5,19,1944,462
2018,5,20,2393,463
2018,5,21,1992,464
2018,5,22,1384,465
2018,6,22,571,466
2018,6,23,2444,467
2018,6,24,2253,468
2018,6,25,2008,469
2018,6,26,2235,470
2018,7,26,76,471
2018,7,27,1523,472
2018,7,28,2080,473
2018,7,29,2334,474
2018,7,30,1870,475
2018,7,31,737,476
2018,8,31,1071,477
2018,8,32,1610,478
2018,8,33,1739,479
2018,8,34,1989,480
2018,8,35,1314,481
2018,9,35,123,482
2018,9,36,1237,483
2018,9,37,1564,484
2018,9,38,1767,485
2018,9,39,2136,486
2018,10,40,1304,487
2018,10,41,1149,488
2018,10,42,1146,489
2018,10,43,1382,490
2018,10,44,510,491
2018,11,44,495,492
2018,11,45,891,493
2018,11,46,789,494
2018,11,47,520,495
2018,11,48,464,496
2018,12,48,105,497
2018,12,49,569,498
2018,12,50,602,499
